Country,Year,GDP_Projected
Hungary,2029,300843.3428571448
Hungary,2030,316503.8571428582
Iceland,2026,38809.66666666698
Iceland,2027,41501.952380952425
Iceland,2028,44194.23809523787
Iceland,2029,46886.52380952425
Iceland,2030,49578.8095238097
India,2026,4495007.600000024
India,2027,4782970.057142854
India,2028,5070932.514285684
India,2029,5358894.971428633
India,2030,5646857.428571463
Indonesia,2026,1547134.1333333254
Indonesia,2027,1619559.219047606
Indonesia,2028,1691984.3047619164
Indonesia,2029,1764409.390476197
Indonesia,2030,1836834.4761904776
Iran,2026,435395.6666666642
Iran,2027,465686.5238095224
Iran,2028,495977.3809523806
Iran,2029,526268.2380952388
Iran,2030,556559.095238097
Iraq,2026,303961.0
Iraq,2027,319964.8571428582
Iraq,2028,335968.7142857164
Iraq,2029,351972.5714285709
Iraq,2030,367976.4285714291
Ireland,2026,635985.7333333343
Ireland,2027,663196.990476191
Ireland,2028,690408.2476190478
Ireland,2029,717619.5047619045
Ireland,2030,744830.7619047612
Israel,2026,610442.4666666687
Israel,2027,639057.6952380985
Israel,2028,667672.9238095209
Israel,2029,696288.1523809507
Israel,2030,724903.3809523806
Italy,2026,2551245.1333333254
Italy,2027,2647195.219047606
Italy,2028,2743145.3047619164
Italy,2029,2839095.390476197
Italy,2030,2935045.4761904776
Ivory Coast,2026,98855.73333333433
Ivory Coast,2027,104803.27619047649
Ivory Coast,2028,110750.81904762052
Ivory Coast,2029,116698.36190476269
Ivory Coast,2030,122645.90476190485
Jamaica,2026,23338.866666666698
Jamaica,2027,24942.495238095056
Jamaica,2028,26546.12380952388
Jamaica,2029,28149.75238095224
Jamaica,2030,29753.380952381063
Japan,2026,3720930.6666666865
Japan,2027,3508759.809523821
Japan,2028,3296588.952380955
Japan,2029,3084418.0952380896
Japan,2030,2872247.238095224
Jordan,2026,58456.53333333228
Jordan,2027,60894.733333332464
Jordan,2028,63332.93333333265
Jordan,2029,65771.13333333284
Jordan,2030,68209.33333333302
Kazakhstan,2026,334818.13333333284
Kazakhstan,2027,361867.2190476209
Kazakhstan,2028,388916.3047619015
Kazakhstan,2029,415965.39047618955
Kazakhstan,2030,443014.4761904776
Kenya,2026,132562.26666666567
Kenya,2027,137730.58095237985
Kenya,2028,142898.89523809403
Kenya,2029,148067.2095238082
Kenya,2030,153235.5238095224
Kiribati,2026,334.8666666666686
Kiribati,2027,350.2095238095244
Kiribati,2028,365.5523809523838
Kiribati,2029,380.8952380952396
Kiribati,2030,396.2380952380954
Kosovo,2026,12305.066666666651
Kosovo,2027,12991.46666666679
Kosovo,2028,13677.866666666698
Kosovo,2029,14364.266666666605
Kosovo,2030,15050.666666666744
Kuwait,2026,175178.4666666668
Kuwait,2027,181473.98095238023
Kuwait,2028,187769.49523809552
Kuwait,2029,194065.00952380896
Kuwait,2030,200360.52380952425
Kyrgyzstan,2026,22267.799999999814
Kyrgyzstan,2027,24709.31428571418
Kyrgyzstan,2028,27150.828571428545
Kyrgyzstan,2029,29592.34285714291
Kyrgyzstan,2030,32033.857142857276
Laos,2026,14652.333333333256
Laos,2027,14108.047619047575
Laos,2028,13563.761904761894
Laos,2029,13019.476190476213
Laos,2030,12475.190476190532
Latvia,2026,48340.266666667536
Latvia,2027,50664.43809523899
Latvia,2028,52988.609523810446
Latvia,2029,55312.7809523819
Latvia,2030,57636.95238095336
Lebanon,2026,28451.799999999814
Lebanon,2027,29495.100000000093
Lebanon,2028,30538.399999999907
Lebanon,2029,31581.69999999972
Lebanon,2030,32625.0
Lesotho,2026,2398.6666666666642
Lesotho,2027,2429.8095238095193
Lesotho,2028,2460.9523809523744
Lesotho,2029,2492.0952380952367
Lesotho,2030,2523.238095238092
Liberia,2026,5647.79999999993
Liberia,2027,6076.028571428498
Liberia,2028,6504.257142857066
Liberia,2029,6932.4857142856345
Liberia,2030,7360.714285714203
Libya,2026,45611.26666666684
Libya,2027,46310.15238095238
Libya,2028,47009.03809523815
Libya,2029,47707.92380952393
Libya,2030,48406.8095238097
Lithuania,2026,97022.06666666642
Lithuania,2027,103344.32380952314
Lithuania,2028,109666.58095237985
Lithuania,2029,115988.83809523843
Lithuania,2030,122311.09523809515
Luxembourg,2026,100575.06666666735
Luxembourg,2027,104629.75238095224
Luxembourg,2028,108684.43809523806
Luxembourg,2029,112739.12380952388
Luxembourg,2030,116793.8095238097
Macau,2026,60290.79999999888
Macau,2027,66533.45714285597
Macau,2028,72776.11428571306
Macau,2029,79018.77142857015
Macau,2030,85261.42857142724
Madagascar,2026,19590.73333333386
Madagascar,2027,20677.133333333768
Madagascar,2028,21763.533333333675
Madagascar,2029,22849.93333333358
Madagascar,2030,23936.33333333349
Malawi,2026,13618.066666666651
Malawi,2027,13887.609523809515
Malawi,2028,14157.152380952379
Malawi,2029,14426.695238095243
Malawi,2030,14696.238095238106
Malaysia,2026,463915.6000000015
Malaysia,2027,482979.48571428657
Malaysia,2028,502043.37142857164
Malaysia,2029,521107.2571428567
Malaysia,2030,540171.1428571418
Maldives,2026,8494.066666666884
Maldives,2027,9197.323809524067
Maldives,2028,9900.580952381017
Maldives,2029,10603.8380952382
Maldives,2030,11307.095238095382
Mali,2026,24607.200000000186
Mali,2027,25768.97142857127
Mali,2028,26930.742857142817
Mali,2029,28092.514285714366
Mali,2030,29254.285714285914
Malta,2026,27624.533333333675
Malta,2027,29437.733333333395
Malta,2028,31250.93333333358
Malta,2029,33064.13333333377
Malta,2030,34877.33333333349
